Sr. No.,Family,Subfamily,Tribe,Scientific Name,Common Name,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
48,Hesperiidae,Pyrginae,Tagiadini,Caprona agama,Spotted Angle,,,,,,,,,,,,,,,,,,,,
49,Hesperiidae,Pyrginae,Tagiadini,Caprona ransonnettii,Golden Angle,,,,,,,,,,,,,,,,,,,,
50,Hesperiidae,Pyrginae,Tagiadini,Caprona alida,Alida Angle,,,,,,,,,,,,,,,,,,,,
51,Hesperiidae,Pyrginae,Tagiadini,Caprona spp.,Caprona Angle species,,,,,,,,,,,,,,,,,,,,
52,Hesperiidae,Pyrginae,Tagiadini,Coladenia indrani,Tricolour Pied Flat,,,,,,,,,,,,,,,,,,,,
53,Hesperiidae,Pyrginae,Tagiadini,Tagiades gana,Suffused Snow Flat,,,,,,,,,,,,,,,,,,,,
54,Hesperiidae,Pyrginae,Tagiadini,Tagiades japetus,Common Snow Flat,,,,,,,,,,,,,,,,,,,,
55,Hesperiidae,Pyrginae,Tagiadini,Tagiades litigiosa,Water Snow Flat,,,,,,,,,,,,,,,,,,,,
56,Hesperiidae,Pyrginae,Tagiadini,Tagiades spp.,Snow Flat species,,,,,,,,,,,,,,,,,,,,
57,Hesperiidae,Pyrginae,Tagiadini,Tapena thwaitesi,Black Angle,,,,,,,,,,,,,,,,,,,,
58,Lycaenidae,Miletinae,Spalgini,Spalgis epius,Apefly,,,,,,,,,,,,,,,,,,,,
59,Lycaenidae,Aphnaeinae,Aphnaeini,Cigaritis ictis,Common Shot Silverline,,,,,,,,,,,,,,,,,,,,
60,Lycaenidae,Aphnaeinae,Aphnaeini,Cigaritis lilacinus,Lilac Silverline,,,,,,,,,,,,,,,,,,,,
61,Lycaenidae,Aphnaeinae,Aphnaeini,Cigaritis lohita,Long-banded Silverline,,,,,,,,,,,,,,,,,,,,
62,Lycaenidae,Aphnaeinae,Aphnaeini,Cigaritis schistacea,Plumbeous Silverline,,,,,,,,,,,,,,,,,,,,
63,Lycaenidae,Aphnaeinae,Aphnaeini,Cigaritis vulcanus,Common Silverline,,,,,,,,,,,,,,,,,,,,
64,Lycaenidae,Aphnaeinae,Aphnaeini,Cigaritis spp.,Silverline species,,,,,,,,,,,,,,,,,,,,
65,Lycaenidae,Curetinae,Tarakini,Curetis acuta,Acute Sunbeam,,,,,,,,,,,,,,,,,,,,
66,Lycaenidae,Curetinae,Tarakini,Curetis thetis,Indian Sunbeam,,,,,,,,,,,,,,,,,,,,
67,Lycaenidae,Curetinae,–,Curetis spp.,Sunbeam species,,,,,,,,,,,,,,,,,,,,
68,Lycaenidae,Polyommatinae,Lycaenesthini,Anthene lycaenina,Pointed Ciliate Blue,,,,,,,,,,,,,,,,,,,,
69,Lycaenidae,Polyommatinae,Polyommatini,Acytolepis puspa,Common Hedge Blue,,,,,,,,,,,,,,,,,,,,
70,Lycaenidae,Polyommatinae,Polyommatini,Azanus jesous,African Babul Blue,,,,,,,,,,,,,,,,,,,,
71,Lycaenidae,Polyommatinae,Polyommatini,Azanus ubaldus,Bright Babul Blue,,,,,,,,,,,,,,,,,,,,
72,Lycaenidae,Polyommatinae,Polyommatini,Azanus uranus,Dull Babul Blue,,,,,,,,,,,,,,,,,,,,
73,Lycaenidae,Polyommatinae,Polyommatini,Azanus spp.,Babul Blue species,,,,,,,,,,,,,,,,,,,,
74,Lycaenidae,Polyommatinae,Polyommatini,Caleta decidia,Angled Pierrot,,,,,,,,,,,,,,,,,,,,
75,Lycaenidae,Polyommatinae,Polyommatini,Castalius rosimon,Common Pierrot,,,,,,,,,,,,,,,,,,,,
76,Lycaenidae,Polyommatinae,Polyommatini,Discolampa ethion,Banded Blue Pierrot,,,,,,,,,,,,,,,,,,,,
77,Lycaenidae,Polyommatinae,Polyommatini,Catochrysops strabo,Forget-me-not,,,,,,,,,,,,,,,,,,,,
78,Lycaenidae,Polyommatinae,Polyommatini,Celastrina lavendularis,Plain Hedge Blue,,,,,,,,,,,,,,,,,,,,
79,Lycaenidae,Polyommatinae,Polyommatini,Chilades lajus,Lime Blue,,,,,,,,,,,,,,,,,,,,
80,Lycaenidae,Polyommatinae,Polyommatini,Chilades pandava,Plains Cupid,,,,,,,,,,,,,,,,,,,,
81,Lycaenidae,Polyommatinae,Polyommatini,Chilades parrhasius,Small Cupid,,,,,,,,,,,,,,,,,,,,
82,Lycaenidae,Polyommatinae,Polyommatini,Everes lacturnus,Orange-crowned Cupid,,,,,,,,,,,,,,,,,,,,
83,Lycaenidae,Polyommatinae,Polyommatini,Euchrysops cnejus,Gram Blue,,,,,,,,,,,,,,,,,,,,
84,Lycaenidae,Polyommatinae,Polyommatini,Freyeria putli,Black-spotted Grass Jewel,,,,,,,,,,,,,,,,,,,,
85,Lycaenidae,Polyommatinae,Polyommatini,Freyeria trochylus,Orange-spotted Grass Jewel,,,,,,,,,,,,,,,,,,,,
86,Lycaenidae,Polyommatinae,Polyommatini,Freyeria spp.,Grass Jewel,,,,,,,,,,,,,,,,,,,,
87,Lycaenidae,Polyommatinae,Polyommatini,Jamides alecto,Metallic Cerulean,,,,,,,,,,,,,,,,,,,,
88,Lycaenidae,Polyommatinae,Polyommatini,Jamides bochus,Dark Cerulean,,,,,,,,,,,,,,,,,,,,
89,Lycaenidae,Polyommatinae,Polyommatini,Jamides celeno,Common Cerulean,,,,,,,,,,,,,,,,,,,,
90,Lycaenidae,Polyommatinae,Polyommatini,Jamides spp.,Cerulean species,,,,,,,,,,,,,,,,,,,,
91,Lycaenidae,Polyommatinae,Polyommatini,Lampides boeticus,Pea Blue,,,,,,,,,,,,,,,,,,,,
92,Lycaenidae,Polyommatinae,Polyommatini,Leptotes plinius,Zebra Blue,,,,,,,,,,,,,,,,,,,,
93,Lycaenidae,Polyommatinae,Polyommatini,Lycaenopsis-group spp.,Hedge blues,,,,,,,,,,,,,,,,,,,,
94,Lycaenidae,Polyommatinae,Polyommatini,Megisba malaya,Malayan,,,,,,,,,,,,,,,,,,,,
95,Lycaenidae,Polyommatinae,Polyommatini,Nacaduba kurava,Transparent Six-Lineblue,,,,,,,,,,,,,,,,,,,,
96,Lycaenidae,Polyommatinae,Polyommatini,Petrelaea dana,Dingy Lineblue,,,,,,,,,,,,,,,,,,,,
97,Lycaenidae,Polyommatinae,Polyommatini,Prosotas dubiosa,Tailless Lineblue,,,,,,,,,,,,,,,,,,,,
98,Lycaenidae,Polyommatinae,Polyommatini,Prosotas nora,Common Lineblue,,,,,,,,,,,,,,,,,,,,
99,Lycaenidae,Polyommatinae,Polyommatini,Prosotas noreia,White-tipped Lineblue,,,,,,,,,,,,,,,,,,,,
100,Lycaenidae,Polyommatinae,Polyommatini,Prosotas spp.,Lineblue species,,,,,,,,,,,,,,,,,,,,
101,Lycaenidae,Polyommatinae,Polyommatini,Pseudozizeeria maha,Pale Grass Blue,,,,,,,,,,,,,,,,,,,,
102,Lycaenidae,Polyommatinae,Polyommatini,Zizeeria-group spp.,Grass Blue species,,,,,,,,,,,,,,,,,,,,
103,Lycaenidae,Polyommatinae,Polyommatini,Talicada nyseus,Red Pierrot,,,,,,,,,,,,,,,,,,,,
104,Lycaenidae,Polyommatinae,Polyommatini,Tarucus ananda,Dark Pierrot,,,,,,,,,,,,,,,,,,,,
105,Lycaenidae,Polyommatinae,Polyommatini,Tarucus balkanica,Little Tiger Pierrot,,,,,,,,,,,,,,,,,,,,
106,Lycaenidae,Polyommatinae,Polyommatini,Tarucus callinara,Spotted Pierrot,,,,,,,,,,,,,,,,,,,,
107,Lycaenidae,Polyommatinae,Polyommatini,Tarucus nara,Striped Pierrot,,,,,,,,,,,,,,,,,,,,
108,Lycaenidae,Polyommatinae,Polyommatini,Tarucus spp.,Tarucus species,,,,,,,,,,,,,,,,,,,,
109,Lycaenidae,Polyommatinae,Polyommatini,Zizeeria karsandra,Dark Grass Blue,,,,,,,,,,,,,,,,,,,,
110,Lycaenidae,Polyommatinae,Polyommatini,Zizina otis,Lesser Grass Blue,,,,,,,,,,,,,,,,,,,,
111,Lycaenidae,Polyommatinae,Polyommatini,Zizula hylax,Tiny Grass Blue,,,,,,,,,,,,,,,,,,,,
112,Lycaenidae,Theclinae,Amblypodiini,Amblypodia anita,Purple Leaf Blue,,,,,,,,,,,,,,,,,,,,
113,Lycaenidae,Theclinae,Amblypodiini,Iraota timoleon,Silverstreak Blue,,,,,,,,,,,,,,,,,,,,
114,Lycaenidae,Theclinae,Arhopalini,Arhopala amantes,Large Oakblue,,,,,,,,,,,,,,,,,,,,
115,Lycaenidae,Theclinae,Arhopalini,Arhopala centaurus,Centaur Oakblue,,,,,,,,,,,,,,,,,,,,
116,Lycaenidae,Theclinae,Arhopalini,Arhopala spp.,Oakblue species,,,,,,,,,,,,,,,,,,,,
117,Lycaenidae,Theclinae,Arhopalini,Surendra quercetorum,Common Acacia Blue,,,,,,,,,,,,,,,,,,,,
118,Lycaenidae,Theclinae,Deudorigini,Deudorix epijarbas,Cornelian,,,,,,,,,,,,,,,,,,,,
119,Lycaenidae,Theclinae,Deudorigini,Rapala iarbus,Common Red Flash,,,,,,,,,,,,,,,,,,,,
120,Lycaenidae,Theclinae,Deudorigini,Rapala manea,Slate Flash,,,,,,,,,,,,,,,,,,,,
121,Lycaenidae,Theclinae,Deudorigini,Rapala varuna,Indigo Flash,,,,,,,,,,,,,,,,,,,,
122,Lycaenidae,Theclinae,Deudorigini,Rapala spp.,Flash species,,,,,,,,,,,,,,,,,,,,
123,Lycaenidae,Theclinae,Deudorigini,Virachola isocrates,Common Guava Blue,,,,,,,,,,,,,,,,,,,,
124,Lycaenidae,Theclinae,Deudorigini,Virachola perse,Large Guava Blue,,,,,,,,,,,,,,,,,,,,
125,Lycaenidae,Theclinae,Horagini,Rathinda amor,Monkey Puzzle,,,,,,,,,,,,,,,,,,,,
126,Lycaenidae,Theclinae,Iolaini,Pratapa deva,White Tufted Royal,,,,,,,,,,,,,,,,,,,,
127,Lycaenidae,Theclinae,Iolaini,Tajuria cippus,Peacock Royal,,,,,,,,,,,,,,,,,,,,
128,Lycaenidae,Theclinae,Iolaini,Tajuria jehana,Plains Blue Royal,,,,,,,,,,,,,,,,,,,,
129,Lycaenidae,Theclinae,Loxurini,Loxura atymnus,Yamfly,,,,,,,,,,,,,,,,,,,,
130,Lycaenidae,Theclinae,Zesiini,Zesius chrysomallus,Redspot,,,,,,,,,,,,,,,,,,,,
131,Nymphalidae,Biblidinae,Biblidini,Ariadne ariadne,Angled Castor,,,,,,,,,,,,,,,,,,,,
132,Nymphalidae,Biblidinae,Biblidini,Ariadne merione,Common Castor,,,,,,,,,,,,,,,,,,,,
133,Nymphalidae,Biblidinae,Biblidini,Ariadne spp.,Castor species,,,,,,,,,,,,,,,,,,,,
134,Nymphalidae,Biblidinae,Biblidini,Byblia ilithyia,Joker,,,,,,,,,,,,,,,,,,,,
135,Nymphalidae,Charaxinae,Charaxini,Charaxes agrarius,Anomalous Nawab,,,,,,,,,,,,,,,,,,,,
136,Nymphalidae,Charaxinae,Charaxini,Charaxes bharata,Indian Nawab,,,,,,,,,,,,,,,,,,,,
137,Nymphalidae,Charaxinae,Charaxini,Charaxes psaphon,Plain Tawny Rajah,,,,,,,,,,,,,,,,,,,,
138,Nymphalidae,Charaxinae,Charaxini,Charaxes solon,Black Rajah,,,,,,,,,,,,,,,,,,,,
