Sr. No.,Family,Subfamily,Tribe,Scientific Name,Common Name,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
212,Papilionidae,Papilioninae,Papilionini,Papilio polytes,Common Mormon,,,,,,,,,,,,,,,,,,,,
213,Papilionidae,Papilioninae,Papilionini,Papilio polytes Female f. cyrus,Common Mormon Female form Cyrus,,,,,,,,,,,,,,,,,,,,
214,Papilionidae,Papilioninae,Papilionini,Papilio polytes Female f. romulus,Common Mormon Female form Romulus,,,,,,,,,,,,,,,,,,,,
215,Papilionidae,Papilioninae,Papilionini,Papilio polytes Female f. stichius,Common Mormon Female form Stichius,,,,,,,,,,,,,,,,,,,,
216,Papilionidae,Papilioninae,Papilionini,Papilio polytes Male,Common Mormon Male,,,,,,,,,,,,,,,,,,,,
217,Papilionidae,Papilioninae,Troidini,Pachliopta aristolochiae,Common Rose,,,,,,,,,,,,,,,,,,,,
218,Papilionidae,Papilioninae,Troidini,Pachliopta hector,Crimson Rose,,,,,,,,,,,,,,,,,,,,
219,Papilionidae,Papilioninae,Troidini,Troides minos,Sahyadri Birdwing,,,,,,,,,,,,,,,,,,,,
220,Pieridae,Coliadinae,–,Catopsilia pomona,Lemon Emigrant,,,,,,,,,,,,,,,,,,,,
221,Pieridae,Coliadinae,–,Catopsilia pyranthe,Mottled Emigrant,,,,,,,,,,,,,,,,,,,,
222,Pieridae,Coliadinae,–,Catopsilia spp.,Emigrant species,,,,,,,,,,,,,,,,,,,,
223,Pieridae,Coliadinae,–,Eurema blanda,Three-spot Grass Yellow,,,,,,,,,,,,,,,,,,,,
224,Pieridae,Coliadinae,–,Eurema brigitta,Small Grass Yellow,,,,,,,,,,,,,,,,,,,,
225,Pieridae,Coliadinae,–,Eurema hecabe,Common Grass Yellow,,,,,,,,,,,,,,,,,,,,
226,Pieridae,Coliadinae,–,Eurema laeta,Spotless Grass Yellow,,,,,,,,,,,,,,,,,,,,
227,Pieridae,Coliadinae,–,Eurema spp.,Grass yellow species,,,,,,,,,,,,,,,,,,,,
228,Pieridae,Pierinae,Anthocharidini,Hebomoia glaucippe,Great Orange-tip,,,,,,,,,,,,,,,,,,,,
229,Pieridae,Pierinae,Leptosiaini,Leptosia nina,Psyche,,,,,,,,,,,,,,,,,,,,
230,Pieridae,Pierinae,Nepheroniini,Pareronia hippia,Indian Wanderer,,,,,,,,,,,,,,,,,,,,
231,Pieridae,Pierinae,Nepheroniini,Pareronia hippia Female,Indian Wanderer Female,,,,,,,,,,,,,,,,,,,,
232,Pieridae,Pierinae,Nepheroniini,Pareronia hippia Male,Indian Wanderer Male,,,,,,,,,,,,,,,,,,,,
233,Pieridae,Pierinae,Pierini,Appias albina,Common Albatross,,,,,,,,,,,,,,,,,,,,
234,Pieridae,Pierinae,Pierini,Appias indra,Plain Puffin,,,,,,,,,,,,,,,,,,,,
235,Pieridae,Pierinae,Pierini,Appias libythea,Striped Albatross,,,,,,,,,,,,,,,,,,,,
236,Pieridae,Pierinae,Pierini,Appias olferna,Black-veined Albatross,,,,,,,,,,,,,,,,,,,,
237,Pieridae,Pierinae,Pierini,Belenois aurota,Pioneer,,,,,,,,,,,,,,,,,,,,
238,Pieridae,Pierinae,Pierini,Cepora nerissa,Common Gull,,,,,,,,,,,,,,,,,,,,
239,Pieridae,Pierinae,Pierini,Delias eucharis,Indian Jezebel,,,,,,,,,,,,,,,,,,,,
240,Pieridae,Pierinae,Pierini,Delias hyparete,Painted Jezebel,,,,,,,,,,,,,,,,,,,,
241,Pieridae,Pierinae,Pierini,Pieris brassicae,Large Cabbage White,,,,,,,,,,,,,,,,,,,,
242,Pieridae,Pierinae,Pierini,Pieris canidia,Asian Cabbage White,,,,,,,,,,,,,,,,,,,,
243,Pieridae,Pierinae,Teracolini,Colotis amata,Small Salmon Arab,,,,,,,,,,,,,,,,,,,,
244,Pieridae,Pierinae,Teracolini,Colotis aurora,Plain Orange-tip,,,,,,,,,,,,,,,,,,,,
245,Pieridae,Pierinae,Teracolini,Colotis danae,Crimson-tip,,,,,,,,,,,,,,,,,,,,
246,Pieridae,Pierinae,Teracolini,Colotis etrida,Little Orange-tip,,,,,,,,,,,,,,,,,,,,
247,Pieridae,Pierinae,Teracolini,Colotis fausta,Large Salmon Arab,,,,,,,,,,,,,,,,,,,,
248,Pieridae,Pierinae,Teracolini,Colotis vestalis,White Arab,,,,,,,,,,,,,,,,,,,,
249,Pieridae,Pierinae,Teracolini,Colotis spp.,Arab species,,,,,,,,,,,,,,,,,,,,
250,Pieridae,Pierinae,Teracolini,Ixias marianne,White Orange-tip,,,,,,,,,,,,,,,,,,,,
251,Pieridae,Pierinae,Teracolini,Ixias pyrene,Yellow Orange-tip,,,,,,,,,,,,,,,,,,,,
252,Riodinidae,Nemeobiinae,Abisarini,Abisara bifasciata,Double-banded Judy,,,,,,,,,,,,,,,,,,,,
253,Riodinidae,Nemeobiinae,Nemeobiini,Zemeros flegyas,Punchinello,,,,,,,,,,,,,,,,,,,,
254,Papilionidae,Papilioninae,Leptocircini,Graphium agetes,Four-bar Swordtail,,,,,,,,,,,,,,,,,,,,
255,Papilionidae,Papilioninae,Leptocircini,Graphium antiphates,Five-bar Swordtail,,,,,,,,,,,,,,,,,,,,
256,Papilionidae,Papilioninae,Leptocircini,Graphium epaminondas,Andaman Swordtail,,,,,,,,,,,,,,,,,,,,
257,Papilionidae,Papilioninae,Leptocircini,Graphium aristeus,Chain Swordtail,,,,,,,,,,,,,,,,,,,,
258,Papilionidae,Papilioninae,Leptocircini,Graphium eurous,Six-bar Swordtail,,,,,,,,,,,,,,,,,,,,
259,Papilionidae,Papilioninae,Leptocircini,Graphium paphus,Spectacle Swordtail,,,,,,,,,,,,,,,,,,,,
260,Papilionidae,Papilioninae,Leptocircini,Graphium garhwalica,Spectacle Swordtail,,,,,,,,,,,,,,,,,,,,
261,Papilionidae,Papilioninae,Leptocircini,Graphium arycles,Spotted Jay,,,,,,,,,,,,,,,,,,,,
262,Papilionidae,Papilioninae,Leptocircini,Graphium chironides,Veined Jay,,,,,,,,,,,,,,,,,,,,
263,Papilionidae,Papilioninae,Leptocircini,Graphium cloanthus,Glassy Bluebottle,,,,,,,,,,,,,,,,,,,,
264,Papilionidae,Papilioninae,Leptocircini,Graphium eurypylus,Great Jay,,,,,,,,,,,,,,,,,,,,
265,Papilionidae,Papilioninae,Leptocircini,Graphium albociliatus,Scarce Jay,,,,,,,,,,,,,,,,,,,,
266,Papilionidae,Papilioninae,Leptocircini,Graphium septentrionicolus,Cryptic Bluebottle [=Graphium adonarensis ],,,,,,,,,,,,,,,,,,,,
267,Papilionidae,Papilioninae,Leptocircini,Graphium macareus,Lesser Zebra,,,,,,,,,,,,,,,,,,,,
268,Papilionidae,Papilioninae,Leptocircini,Graphium megarus,Spotted Zebra,,,,,,,,,,,,,,,,,,,,
269,Papilionidae,Papilioninae,Leptocircini,Graphium xenocles,Great Zebra,,,,,,,,,,,,,,,,,,,,
270,Papilionidae,Papilioninae,Leptocircini,Lamproptera curius,White Dragontail,,,,,,,,,,,,,,,,,,,,
271,Papilionidae,Papilioninae,Leptocircini,Lamproptera meges,Green Dragontail,,,,,,,,,,,,,,,,,,,,
272,Papilionidae,Papilioninae,Papilionini,Papilio agestor,Tawny Mime,,,,,,,,,,,,,,,,,,,,
273,Papilionidae,Papilioninae,Papilionini,Papilio epycides,Lesser Mime,,,,,,,,,,,,,,,,,,,,
274,Papilionidae,Papilioninae,Papilionini,Papilio paradoxa,Great Blue Mime,,,,,,,,,,,,,,,,,,,,
275,Papilionidae,Papilioninae,Papilionini,Papilio slateri,Blue-striped Mime,,,,,,,,,,,,,,,,,,,,
276,Papilionidae,Papilioninae,Papilionini,Papilio machaon,Common Yellow Swallowtail,,,,,,,,,,,,,,,,,,,,
277,Papilionidae,Papilioninae,Papilionini,Papilio xuthus,Asian Yellow Swallowtail,,,,,,,,,,,,,,,,,,,,
278,Papilionidae,Papilioninae,Papilionini,Papilio liomedon,Malabar Banded Swallowtail,,,,,,,,,,,,,,,,,,,,
279,Papilionidae,Papilioninae,Papilionini,Papilio noblei,Tooth Swallowtail,,,,,,,,,,,,,,,,,,,,
280,Papilionidae,Papilioninae,Papilionini,Papilio alcmenor,Red-breasted Mormon,,,,,,,,,,,,,,,,,,,,
281,Papilionidae,Papilioninae,Papilionini,Papilio bootes,Red-spotted Mormon,,,,,,,,,,,,,,,,,,,,
282,Papilionidae,Papilioninae,Papilionini,Papilio janaka,Red-banded Mormon,,,,,,,,,,,,,,,,,,,,
283,Papilionidae,Papilioninae,Papilionini,Papilio castor,Common Raven,,,,,,,,,,,,,,,,,,,,
284,Papilionidae,Papilioninae,Papilionini,Papilio dravidarum,Malabar Raven,,,,,,,,,,,,,,,,,,,,
285,Papilionidae,Papilioninae,Papilionini,Papilio prexaspes,Blue Helen,,,,,,,,,,,,,,,,,,,,
286,Papilionidae,Papilioninae,Papilionini,Papilio helenus,Red Helen,,,,,,,,,,,,,,,,,,,,
287,Papilionidae,Papilioninae,Papilionini,Papilio memnon,Island Mormon,,,,,,,,,,,,,,,,,,,,
288,Papilionidae,Papilioninae,Papilionini,Papilio mayo,Andaman Mormon,,,,,,,,,,,,,,,,,,,,
289,Papilionidae,Papilioninae,Papilionini,Papilio agenor,Great Mormon,,,,,,,,,,,,,,,,,,,,
290,Papilionidae,Papilioninae,Papilionini,Papilio chaon,Yellow Helen,,,,,,,,,,,,,,,,,,,,
291,Papilionidae,Papilioninae,Papilionini,Papilio protenor,Spangled Mormon,,,,,,,,,,,,,,,,,,,,
292,Papilionidae,Papilioninae,Papilionini,Papilio arcturus,Blue Peacock,,,,,,,,,,,,,,,,,,,,
293,Papilionidae,Papilioninae,Papilionini,Papilio buddha,Malabar Banded Peacock,,,,,,,,,,,,,,,,,,,,
294,Papilionidae,Papilioninae,Papilionini,Papilio elephenor,Yellow-crested Peacock,,,,,,,,,,,,,,,,,,,,
295,Papilionidae,Papilioninae,Papilionini,Papilio palinurus,Green-banded Peacock,,,,,,,,,,,,,,,,,,,,
296,Papilionidae,Papilioninae,Papilionini,Papilio krishna,Krishna Peacock,,,,,,,,,,,,,,,,,,,,
297,Papilionidae,Papilioninae,Papilionini,Papilio paris,Paris Peacock,,,,,,,,,,,,,,,,,,,,
298,Papilionidae,Papilioninae,Papilionini,Papilio bianor,Common Peacock,,,,,,,,,,,,,,,,,,,,
299,Papilionidae,Papilioninae,Papilionini,Papilio polyctor,Woolly-branded Peacock,,,,,,,,,,,,,,,,,,,,
300,Papilionidae,Papilioninae,Teinopalpini,Meandrusa lachinus,Brown Gorgon,,,,,,,,,,,,,,,,,,,,
301,Papilionidae,Papilioninae,Teinopalpini,Meandrusa payeni,Yellow Gorgon,,,,,,,,,,,,,,,,,,,,
302,Papilionidae,Papilioninae,Teinopalpini,Teinopalpus imperialis,Kaiser-i-Hind,,,,,,,,,,,,,,,,,,,,
303,Papilionidae,Papilioninae,Troidini,Atrophaneura aidoneus,Lesser Batwing,,,,,,,,,,,,,,,,,,,,
304,Papilionidae,Papilioninae,Troidini,Atrophaneura varuna,Common Batwing,,,,,,,,,,,,,,,,,,,,
305,Papilionidae,Papilioninae,Troidini,Byasa crassipes,Black Windmill,,,,,,,,,,,,,,,,,,,,
306,Papilionidae,Papilioninae,Troidini,Byasa dasarada,Great Windmill,,,,,,,,,,,,,,,,,,,,
307,Papilionidae,Papilioninae,Troidini,Byasa latreillei,Rose Windmill,,,,,,,,,,,,,,,,,,,,
308,Papilionidae,Papilioninae,Troidini,Byasa nevilli,Two-spotted Windmill,,,,,,,,,,,,,,,,,,,,
309,Papilionidae,Papilioninae,Troidini,Byasa plutonius,Pink-spotted Windmill,,,,,,,,,,,,,,,,,,,,
310,Papilionidae,Papilioninae,Troidini,Byasa polla,Crimson-bordered Windmill,,,,,,,,,,,,,,,,,,,,
311,Papilionidae,Papilioninae,Troidini,Byasa polyeuctes,Common Windmill,,,,,,,,,,,,,,,,,,,,
312,Papilionidae,Papilioninae,Troidini,Byasa tytleri,Small-spotted Windmill,,,,,,,,,,,,,,,,,,,,
313,Papilionidae,Papilioninae,Troidini,Pachliopta pandiyana,Malabar Rose,,,,,,,,,,,,,,,,,,,,
314,Papilionidae,Papilioninae,Troidini,Losaria coon,Common Clubtail,,,,,,,,,,,,,,,,,,,,
315,Papilionidae,Papilioninae,Troidini,Losaria rhodifer,Andaman Clubtail,,,,,,,,,,,,,,,,,,,,
316,Papilionidae,Papilioninae,Troidini,Troides aeacus,Golden Birdwing,,,,,,,,,,,,,,,,,,,,
317,Papilionidae,Papilioninae,Troidini,Troides helena,Common Birdwing,,,,,,,,,,,,,,,,,,,,
318,Papilionidae,Parnassiinae,Parnassiini,Parnassius acco,Varnished Apollo,,,,,,,,,,,,,,,,,,,,
319,Papilionidae,Parnassiinae,Parnassiini,Parnassius acdestis,Dusky Apollo,,,,,,,,,,,,,,,,,,,,
320,Papilionidae,Parnassiinae,Parnassiini,Parnassius actius,Pale Keeled Apollo,,,,,,,,,,,,,,,,,,,,
321,Papilionidae,Parnassiinae,Parnassiini,Parnassius charltonius,Regal Apollo,,,,,,,,,,,,,,,,,,,,
322,Papilionidae,Parnassiinae,Parnassiini,Parnassius epaphus,Common Red Apollo,,,,,,,,,,,,,,,,,,,,
323,Papilionidae,Parnassiinae,Parnassiini,Parnassius hunnyngtoni,Pale Apollo,,,,,,,,,,,,,,,,,,,,
324,Papilionidae,Parnassiinae,Parnassiini,Parnassius hardwickii,Common Blue Apollo,,,,,,,,,,,,,,,,,,,,
325,Papilionidae,Parnassiinae,Parnassiini,Parnassius hunza,Grey-bordered Apollo,,,,,,,,,,,,,,,,,,,,
326,Papilionidae,Parnassiinae,Parnassiini,Parnassius imperator,Imperial Apollo,,,,,,,,,,,,,,,,,,,,
327,Papilionidae,Parnassiinae,Parnassiini,Parnassius jacquemontii,Keeled Apollo,,,,,,,,,,,,,,,,,,,,
328,Papilionidae,Parnassiinae,Parnassiini,Parnassius maharaja,Maharaja Apollo,,,,,,,,,,,,,,,,,,,,
329,Papilionidae,Parnassiinae,Parnassiini,Parnassius staudingeri,Banded Apollo,,,,,,,,,,,,,,,,,,,,
330,Papilionidae,Parnassiinae,Parnassiini,Parnassius simo,Black-edged Apollo,,,,,,,,,,,,,,,,,,,,
331,Papilionidae,Parnassiinae,Parnassiini,Parnassius stenosemus,Dusted Apollo,,,,,,,,,,,,,,,,,,,,
332,Papilionidae,Parnassiinae,Parnassiini,Parnassius stoliczkanus,Many-eyed Apollo,,,,,,,,,,,,,,,,,,,,
333,Papilionidae,Parnassiinae,Parnassiini,Parnassius tianschanica,Large Keeled Apollo,,,,,,,,,,,,,,,,,,,,
334,Papilionidae,Parnassiinae,Zerynthiini,Bhutanitis lidderdalii,Bhutan Glory,,,,,,,,,,,,,,,,,,,,
335,Papilionidae,Parnassiinae,Zerynthiini,Bhutanitis ludlowi,Mystical Bhutan Glory,,,,,,,,,,,,,,,,,,,,
336,Hesperiidae,Coeliadinae,–,Bibasis mahintha,Slate Awlet,,,,,,,,,,,,,,,,,,,,
337,Hesperiidae,Coeliadinae,–,Burara amara,Small Green Awlet,,,,,,,,,,,,,,,,,,,,
338,Hesperiidae,Coeliadinae,–,Burara anadi,Plain Orange Awlet,,,,,,,,,,,,,,,,,,,,
339,Hesperiidae,Coeliadinae,–,Burara gomata,Pale Green Awlet,,,,,,,,,,,,,,,,,,,,
340,Hesperiidae,Coeliadinae,–,Burara harisa,Harisa Orange Awlet,,,,,,,,,,,,,,,,,,,,
341,Hesperiidae,Coeliadinae,–,Burara oedipodea,Branded Orange Awlet,,,,,,,,,,,,,,,,,,,,
342,Hesperiidae,Coeliadinae,–,Burara vasutana,Green Awlet,,,,,,,,,,,,,,,,,,,,
343,Hesperiidae,Coeliadinae,–,Choaspes benjaminii,Common Awlking,,,,,,,,,,,,,,,,,,,,
344,Hesperiidae,Coeliadinae,–,Choaspes furcata,Hooked Awlking,,,,,,,,,,,,,,,,,,,,
345,Hesperiidae,Coeliadinae,–,Choaspes stigmata,Branded Awlking,,,,,,,,,,,,,,,,,,,,
346,Hesperiidae,Coeliadinae,–,Choaspes xanthopogon,Spiny Awlking,,,,,,,,,,,,,,,,,,,,
347,Hesperiidae,Coeliadinae,–,Hasora anura de,Slate Awl,,,,,,,,,,,,,,,,,,,,
348,Hesperiidae,Coeliadinae,–,Hasora danda,Purple-glazed Awl,,,,,,,,,,,,,,,,,,,,
349,Hesperiidae,Coeliadinae,–,Hasora khoda,Large-banded Awl,,,,,,,,,,,,,,,,,,,,
350,Hesperiidae,Coeliadinae,–,Hasora leucospila,Violet Awl,,,,,,,,,,,,,,,,,,,,
351,Hesperiidae,Coeliadinae,–,Hasora salanga,Green Awl,,,,,,,,,,,,,,,,,,,,
352,Hesperiidae,Coeliadinae,–,Hasora schoenherr,Yellow-banded Awl,,,,,,,,,,,,,,,,,,,,
353,Hesperiidae,Eudaminae,–,Lobocla liliana,White-banded Marbled Flat,,,,,,,,,,,,,,,,,,,,
354,Hesperiidae,Eudaminae,–,Lobocla aborica,Yellow-banded Marbled Flat,,,,,,,,,,,,,,,,,,,,
355,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus affinis,Yellow-spot Banded Flat,,,,,,,,,,,,,,,,,,,,
356,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus andamanica,Andaman Banded Flat,,,,,,,,,,,,,,,,,,,,
357,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus asmara,White-banded Flat,,,,,,,,,,,,,,,,,,,,
358,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus aspersa,Large Streaked Flat,,,,,,,,,,,,,,,,,,,,
359,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus aurivittata,Dark Yellow-banded Flat,,,,,,,,,,,,,,,,,,,,
360,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus badia,Scarce Banded Flat,,,,,,,,,,,,,,,,,,,,
361,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus dhanada,Yellow-banded Flat,,,,,,,,,,,,,,,,,,,,
362,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus ficulnea,Velvet Flat,,,,,,,,,,,,,,,,,,,,
363,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus flavocincta,Orange Spotted Flat,,,,,,,,,,,,,,,,,,,,
364,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus maculicornis,Separated Spotted Flat,,,,,,,,,,,,,,,,,,,,
365,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus morena,Confined Spotted Flat,,,,,,,,,,,,,,,,,,,,
366,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus munda,Conjoined Spotted Flat,,,,,,,,,,,,,,,,,,,,
367,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus nigricans,Small-banded Flat,,,,,,,,,,,,,,,,,,,,
368,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus patula de,Large Spotted Flat,,,,,,,,,,,,,,,,,,,,
369,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus pero de,Yellow-bordered Spotted Flat,,,,,,,,,,,,,,,,,,,,
370,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus plagifera de,Large-spotted Flat,,,,,,,,,,,,,,,,,,,,
371,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus pulomaya,Multi-spotted Flat,,,,,,,,,,,,,,,,,,,,
372,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus pyrrha de,Double-spotted Flat,,,,,,,,,,,,,,,,,,,,
373,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus ratna,Ratna Flat,,,,,,,,,,,,,,,,,,,,
374,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus sumitra,Contiguous Spotted Flat,,,,,,,,,,,,,,,,,,,,
375,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus tibetana,Jagged Spotted Flat,,,,,,,,,,,,,,,,,,,,
376,Hesperiidae,Pyrginae,Celaenorrhinini,Celaenorrhinus zea,Toothed Spotted Flat,,,,,,,,,,,,,,,,,,,,
377,Hesperiidae,Pyrginae,Celaenorrhinini,Pseudocoladenia fabia,Dented Pied Flat,,,,,,,,,,,,,,,,,,,,
378,Hesperiidae,Pyrginae,Celaenorrhinini,Pseudocoladenia fatih,West Himalayan Pied Flat,,,,,,,,,,,,,,,,,,,,
379,Hesperiidae,Pyrginae,Celaenorrhinini,Pseudocoladenia fatua,Ruddy Pied Flat,,,,,,,,,,,,,,,,,,,,
380,Hesperiidae,Pyrginae,Celaenorrhinini,Pseudocoladenia festa,Dull Pied Flat,,,,,,,,,,,,,,,,,,,,
381,Hesperiidae,Pyrginae,Tagiadini,Capila jayadeva,Striped Dawnfly,,,,,,,,,,,,,,,,,,,,
382,Hesperiidae,Pyrginae,Tagiadini,Capila lidderdali,Ringed Dawnfly,,,,,,,,,,,,,,,,,,,,
383,Hesperiidae,Pyrginae,Tagiadini,Capila pennicillatum,Fringed Dawnfly,,,,,,,,,,,,,,,,,,,,
384,Hesperiidae,Pyrginae,Tagiadini,Capila phanaeus,Fulvous Dawnfly,,,,,,,,,,,,,,,,,,,,
385,Hesperiidae,Pyrginae,Tagiadini,Capila pieridoides,White Dawnfly,,,,,,,,,,,,,,,,,,,,
386,Hesperiidae,Pyrginae,Tagiadini,Capila zennara,Pale-striped Dawnfly,,,,,,,,,,,,,,,,,,,,
387,Hesperiidae,Pyrginae,Tagiadini,Satarupa zulla,Equal White Flat,,,,,,,,,,,,,,,,,,,,
388,Hesperiidae,Pyrginae,Tagiadini,Satarupa splendens,Splendid White Flat,,,,,,,,,,,,,,,,,,,,
389,Hesperiidae,Pyrginae,Tagiadini,Satarupa gopala,Large White Flat,,,,,,,,,,,,,,,,,,,,
390,Hesperiidae,Pyrginae,Tagiadini,Seseria sambara,Notched Seseria,,,,,,,,,,,,,,,,,,,,
391,Hesperiidae,Pyrginae,Tagiadini,Seseria dohertyi,Contiguous Seseria,,,,,,,,,,,,,,,,,,,,
392,Hesperiidae,Pyrginae,Tagiadini,Coladenia agnioides,Brown-tipped Pied Flat,,,,,,,,,,,,,,,,,,,,
393,Hesperiidae,Pyrginae,Tagiadini,Coladenia agni,Brown Pied Flat,,,,,,,,,,,,,,,,,,,,
394,Hesperiidae,Pyrginae,Tagiadini,Coladenia laxmi,Grey Pied Flat,,,,,,,,,,,,,,,,,,,,
395,Hesperiidae,Pyrginae,Tagiadini,Coladenia hoenei,Large Spot Pied Flat,,,,,,,,,,,,,,,,,,,,
396,Hesperiidae,Pyrginae,Tagiadini,Tagiades cohaerens,White-striped Snow Flat,,,,,,,,,,,,,,,,,,,,
397,Hesperiidae,Pyrginae,Tagiadini,Tagiades menaka,Spotted Snow Flat,,,,,,,,,,,,,,,,,,,,
398,Hesperiidae,Pyrginae,Tagiadini,Tagiades parra,Multi-spotted Snow Flat,,,,,,,,,,,,,,,,,,,,
399,Hesperiidae,Pyrginae,Tagiadini,Tagiades calligana,Brown-tipped Snow Flat,,,,,,,,,,,,,,,,,,,,
400,Hesperiidae,Pyrginae,Tagiadini,Odina decoratus,Zigzag Flat,,,,,,,,,,,,,,,,,,,,
401,Hesperiidae,Pyrginae,Tagiadini,Pintara tabrica,Spotted Orange Flat,,,,,,,,,,,,,,,,,,,,
402,Hesperiidae,Pyrginae,Tagiadini,Mooreana trichoneura,Yellow Flat,,,,,,,,,,,,,,,,,,,,
403,Hesperiidae,Pyrginae,Tagiadini,Gerosis sinica,White Yellow-breasted Flat,,,,,,,,,,,,,,,,,,,,
404,Hesperiidae,Pyrginae,Tagiadini,Gerosis phisara,Dusky Yellow-breasted Flat,,,,,,,,,,,,,,,,,,,,
405,Hesperiidae,Pyrginae,Tagiadini,Gerosis bhagava,Common Yellow-breasted Flat,,,,,,,,,,,,,,,,,,,,
406,Hesperiidae,Pyrginae,Tagiadini,Darpa hanria,Hairy Angle,,,,,,,,,,,,,,,,,,,,
407,Hesperiidae,Pyrginae,Tagiadini,Darpa minta,Black-spotted Angle,,,,,,,,,,,,,,,,,,,,
408,Hesperiidae,Pyrginae,Tagiadini,Darpa dealbata,Snowy Angle,,,,,,,,,,,,,,,,,,,,
409,Hesperiidae,Pyrginae,Tagiadini,Tapena minuscula,Small Angle,,,,,,,,,,,,,,,,,,,,
410,Hesperiidae,Pyrginae,Tagiadini,Ctenoptilum vasava,Tawny Angle,,,,,,,,,,,,,,,,,,,,
411,Hesperiidae,Pyrginae,Tagiadini,Ctenoptilum multiguttata de,Multi-spotted Angle,,,,,,,,,,,,,,,,,,,,
412,Hesperiidae,Pyrginae,Tagiadini,Odontoptilum angulata,Chestnut Angle,,,,,,,,,,,,,,,,,,,,
413,Hesperiidae,Pyrginae,Tagiadini,Chamunda chamunda,Olive Flat,,,,,,,,,,,,,,,,,,,,
414,Hesperiidae,Pyrginae,Carcharodini,Spialia doris,Desert Grizzled Skipper,,,,,,,,,,,,,,,,,,,,
415,Hesperiidae,Pyrginae,Carcharodini,Spialia orbifer,Brick Grizzled Skipper,,,,,,,,,,,,,,,,,,,,
416,Hesperiidae,Pyrginae,Carcharodini,Carcharodus dravira,Smooth Marbled Skipper,,,,,,,,,,,,,,,,,,,,
417,Hesperiidae,Pyrginae,Carcharodini,Carcharodus alceae,Plain Marbled Skipper,,,,,,,,,,,,,,,,,,,,
418,Hesperiidae,Pyrginae,Pyrgini,Pyrgus dejeani,Tibetan Chequered Skipper,,,,,,,,,,,,,,,,,,,,
419,Hesperiidae,Pyrginae,Pyrgini,Pyrgus cashmirensis,Plain Mountain Skipper,,,,,,,,,,,,,,,,,,,,
420,Hesperiidae,Pyrginae,Pyrgini,Pyrgus alpina,Common Mountain Skipper,,,,,,,,,,,,,,,,,,,,
421,Hesperiidae,Pyrginae,Erynnini,Erynnis pathan,Inky Duskywing,,,,,,,,,,,,,,,,,,,,
422,Hesperiidae,Pyrginae,Erynnini,Erynnis pelias,Frosted Duskywing,,,,,,,,,,,,,,,,,,,,
423,Hesperiidae,Hesperiinae,Aeromachini,Apostictopterus fuliginosus,Giant Hopper,,,,,,,,,,,,,,,,,,,,
424,Hesperiidae,Hesperiinae,Aeromachini,Astictopterus jama,Forest Hopper,,,,,,,,,,,,,,,,,,,,
425,Hesperiidae,Hesperiinae,Aeromachini,Baracus hampsoni,Spotted Hedge Hopper,,,,,,,,,,,,,,,,,,,,
426,Hesperiidae,Hesperiinae,Aeromachini,Baracus subditus,Striped Hedge Hopper,,,,,,,,,,,,,,,,,,,,
427,Hesperiidae,Hesperiinae,Aeromachini,Baracus septentrionum,Large Hedge Hopper,,,,,,,,,,,,,,,,,,,,
428,Hesperiidae,Hesperiinae,Aeromachini,Ampittia maroides de,Scarce Bush Hopper,,,,,,,,,,,,,,,,,,,,
429,Hesperiidae,Hesperiinae,Aeromachini,Ampittia subvittatus,Tiger Hopper,,,,,,,,,,,,,,,,,,,,
430,Hesperiidae,Hesperiinae,Aeromachini,Aeromachus kali,Blue-spotted Scrub Hopper,,,,,,,,,,,,,,,,,,,,
431,Hesperiidae,Hesperiinae,Aeromachini,Aeromachus stigmata,Veined Scrub Hopper,,,,,,,,,,,,,,,,,,,,
